Epoch,gpu_mem,box,obj,cls,total,targets,img_size,precision,recall,mAP@.5,mAP@.5:.95,val box,val obj,val cls
144,1.65G,0.0299,0.0232,0.002301,0.05541,79,416,0.8456,0.8538,0.846,0.4684,0.03994,0.01503,0.0005322
145,1.65G,0.0297,0.02409,0.002438,0.05623,101,416,0.7851,0.8538,0.8646,0.4891,0.0408,0.01391,0.0002048
146,1.65G,0.02972,0.02432,0.002632,0.05667,78,416,0.8175,0.8284,0.834,0.456,0.04113,0.01439,0.0004442
147,1.65G,0.02914,0.02387,0.002614,0.05562,85,416,0.8326,0.9115,0.8743,0.4625,0.04092,0.01465,0.0004263
148,1.65G,0.02918,0.02306,0.002816,0.05506,83,416,0.8446,0.8786,0.8684,0.4489,0.04164,0.01522,0.0002723
149,1.65G,0.02888,0.02282,0.002457,0.05415,72,416,0.9037,0.7962,0.8375,0.44,0.04128,0.01535,0.0001976
150,1.65G,0.02939,0.02357,0.002329,0.05529,72,416,0.8236,0.8865,0.8416,0.4589,0.04058,0.01465,0.0003958
151,1.65G,0.02916,0.0235,0.002425,0.05508,109,416,0.8475,0.8615,0.8549,0.4692,0.03951,0.01435,0.0004922
152,1.65G,0.02941,0.02373,0.002436,0.05557,67,416,0.8489,0.8788,0.8791,0.4554,0.04128,0.01482,0.0003738
153,1.65G,0.02896,0.02334,0.00281,0.05511,80,416,0.8732,0.8388,0.8751,0.4381,0.04155,0.01486,0.001012
154,1.65G,0.0291,0.02351,0.002268,0.05488,89,416,0.8879,0.8377,0.8922,0.4587,0.04023,0.0154,0.0003424
155,1.65G,0.02907,0.02327,0.002001,0.05434,96,416,0.8623,0.8538,0.87,0.4635,0.04065,0.01462,0.0002414
156,1.65G,0.02911,0.02345,0.002382,0.05494,88,416,0.853,0.845,0.8744,0.4398,0.04314,0.01474,0.0007029
157,1.65G,0.02929,0.02351,0.002404,0.0552,102,416,0.8584,0.8241,0.8787,0.4863,0.0409,0.01471,0.0003829
158,1.65G,0.02874,0.02277,0.002461,0.05397,88,416,0.8693,0.8788,0.8871,0.4659,0.04096,0.01576,0.0004325
159,1.65G,0.02894,0.02353,0.002177,0.05465,91,416,0.9648,0.7312,0.854,0.4626,0.04024,0.01524,0.0005321
160,1.65G,0.02883,0.0236,0.002307,0.05473,105,416,0.8493,0.8211,0.847,0.4491,0.039,0.01559,0.001103
161,1.65G,0.02909,0.02237,0.002284,0.05374,85,416,0.8168,0.8475,0.8616,0.4789,0.03945,0.01481,0.0009707
162,1.65G,0.02942,0.02289,0.002597,0.0549,84,416,0.8052,0.813,0.8537,0.4322,0.04195,0.01559,0.001034
163,1.65G,0.02898,0.02231,0.002698,0.05398,79,416,0.8813,0.8385,0.878,0.4344,0.04183,0.01602,0.0004847
164,1.65G,0.02872,0.02279,0.002656,0.05416,80,416,0.8413,0.8538,0.8744,0.466,0.03872,0.01557,0.001717
165,1.65G,0.02866,0.02316,0.002376,0.05419,83,416,0.8613,0.8212,0.8535,0.4285,0.04139,0.01561,0.0003927
166,1.65G,0.02848,0.02366,0.002627,0.05476,85,416,0.8337,0.8864,0.8524,0.4627,0.03869,0.01458,0.0006393
167,1.65G,0.0287,0.02248,0.002374,0.05356,105,416,0.8481,0.8364,0.8384,0.4706,0.03909,0.01444,0.0002731
168,1.65G,0.02844,0.02293,0.002721,0.05409,100,416,0.8461,0.8463,0.8439,0.4734,0.03867,0.01436,0.0005292
169,1.65G,0.02906,0.02286,0.002171,0.05409,106,416,0.904,0.8962,0.9192,0.4763,0.04072,0.01565,0.0004185
170,1.65G,0.02786,0.02273,0.002185,0.05278,106,416,0.891,0.8075,0.8699,0.4758,0.04002,0.0152,0.0006009
171,1.65G,0.02835,0.02305,0.002659,0.05406,103,416,0.9355,0.8379,0.8983,0.4582,0.03933,0.01451,0.0005171
172,1.65G,0.02862,0.02279,0.002468,0.05388,79,416,0.8759,0.8133,0.835,0.4336,0.03944,0.01572,0.0004977
173,1.65G,0.02827,0.02277,0.002273,0.05331,89,416,0.8649,0.8775,0.8934,0.4677,0.04023,0.0144,0.0004815
174,1.65G,0.02756,0.02245,0.00212,0.05213,94,416,0.8733,0.9037,0.9119,0.49,0.03839,0.01468,0.0004929
175,1.65G,0.02775,0.022,0.002511,0.05226,102,416,0.8199,0.8462,0.8297,0.4718,0.03916,0.01499,0.0004837
176,1.65G,0.02789,0.02304,0.00233,0.05325,90,416,0.8304,0.8712,0.8636,0.4711,0.0394,0.01483,0.0002248
177,1.65G,0.02834,0.02272,0.002361,0.05342,77,416,0.9435,0.8212,0.881,0.4847,0.03887,0.01453,0.0003713
178,1.65G,0.02782,0.02281,0.002433,0.05306,77,416,0.9406,0.774,0.8804,0.4695,0.03885,0.01503,0.0005261
179,1.65G,0.02786,0.02292,0.001948,0.05273,85,416,0.8806,0.8308,0.8775,0.4602,0.04022,0.01582,0.0003313
180,1.65G,0.02834,0.0228,0.002191,0.05333,83,416,0.9066,0.8231,0.8909,0.4514,0.04147,0.01532,0.001263
181,1.65G,0.02762,0.02279,0.00191,0.05233,72,416,0.9146,0.8212,0.8798,0.4601,0.03983,0.015,0.001308
182,1.65G,0.02811,0.02251,0.002529,0.05315,96,416,0.8736,0.8635,0.8574,0.4694,0.03781,0.01442,0.001155
183,1.65G,0.02762,0.02295,0.002607,0.05318,86,416,0.8745,0.8135,0.8295,0.4586,0.04005,0.01576,0.001536
184,1.65G,0.02772,0.02216,0.002711,0.05259,94,416,0.8608,0.8538,0.8746,0.4575,0.03816,0.01491,0.001856
185,1.65G,0.02761,0.02284,0.002706,0.05316,97,416,0.8639,0.8443,0.8588,0.4882,0.03717,0.01493,0.0009909
186,1.65G,0.02767,0.02256,0.001946,0.05218,103,416,0.844,0.7999,0.8276,0.4881,0.0404,0.01443,0.0004745
187,1.65G,0.02802,0.02271,0.002241,0.05297,84,416,0.8266,0.8288,0.8651,0.4813,0.03894,0.0153,0.001067
188,1.65G,0.02754,0.02129,0.002331,0.05116,98,416,0.9473,0.7735,0.8702,0.4819,0.03875,0.01523,0.0006513
189,1.65G,0.02775,0.02274,0.002578,0.05307,92,416,0.8155,0.7843,0.8192,0.4216,0.04038,0.01679,0.0005658
190,1.65G,0.02759,0.02229,0.002302,0.05218,82,416,0.886,0.8384,0.8748,0.4472,0.03966,0.01535,0.001065
191,1.65G,0.02771,0.0222,0.002185,0.0521,92,416,0.8362,0.8009,0.835,0.4657,0.04001,0.01596,0.001613
192,1.65G,0.0275,0.02245,0.002338,0.05229,65,416,0.8776,0.8038,0.847,0.4807,0.03892,0.0157,0.0004581
193,1.65G,0.02766,0.02238,0.002114,0.05216,90,416,0.9126,0.7917,0.8653,0.4807,0.03878,0.01514,0.0007698
194,1.65G,0.02721,0.02219,0.002105,0.0515,91,416,0.8002,0.9115,0.877,0.4898,0.0376,0.01543,0.002038
195,1.65G,0.02742,0.0227,0.001698,0.05182,92,416,0.8166,0.7853,0.8168,0.4554,0.04105,0.01619,0.0006431
196,1.65G,0.02757,0.02305,0.00205,0.05267,98,416,0.8494,0.7382,0.7852,0.4317,0.04142,0.01614,0.001559
197,1.65G,0.02717,0.0221,0.002059,0.05133,101,416,0.8824,0.8058,0.873,0.4841,0.03978,0.01477,0.001182
198,1.65G,0.02731,0.02238,0.002394,0.05209,88,416,0.8562,0.7712,0.8473,0.4386,0.04004,0.01576,0.001006
199,1.65G,0.02734,0.02197,0.001823,0.05114,92,416,0.8379,0.8462,0.8659,0.4604,0.03905,0.01543,0.0004642
200,1.65G,0.02731,0.02184,0.001828,0.05097,84,416,0.8508,0.8711,0.8806,0.4741,0.03973,0.01517,0.0003831
201,1.65G,0.02694,0.02169,0.001556,0.05019,96,416,0.9216,0.8212,0.8885,0.4873,0.03956,0.01486,0.0008068
202,1.65G,0.02682,0.02233,0.001816,0.05096,97,416,0.8387,0.8425,0.8519,0.4758,0.04171,0.01555,0.00137
203,1.65G,0.02678,0.02249,0.002479,0.05175,74,416,0.8387,0.8538,0.8658,0.4679,0.03913,0.01506,0.001154
204,1.65G,0.0269,0.02173,0.001824,0.05046,80,416,0.8842,0.8288,0.8632,0.4715,0.0387,0.01469,0.002515
205,1.65G,0.02723,0.02208,0.002201,0.05151,102,416,0.82,0.8538,0.8403,0.4833,0.0385,0.01438,0.001615
206,1.65G,0.02712,0.02192,0.002054,0.05109,86,416,0.8073,0.8515,0.8303,0.4443,0.04049,0.01566,0.001571
